Survived,Pclass,Sex,Embarked,Title,GrpSize,FareCat,AgeCat
1,2,female,S,Mrs,Solo,10-25,17-32
0,2,male,S,Mr,Solo,10-25,17-32
1,3,female,S,Miss,Duo,0-10,17-32
1,2,male,S,Master,Small,25-40,0-16
1,1,female,C,Mrs,Solo,25-40,33-48
1,1,female,C,Miss,Duo,100+,49-64
0,3,male,Q,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Duo,0-10,33-48
1,3,female,Q,Miss,Solo,0-10,17-32
0,2,female,S,Miss,Solo,10-25,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Large,40-70,17-32
0,3,male,S,Mr,Solo,0-10,33-48
0,3,male,C,Mr,Solo,0-10,33-48
1,3,male,S,Mr,Solo,0-10,17-32
0,3,female,S,Miss,Duo,10-25,0-16
0,3,male,S,Mr,Duo,10-25,17-32
1,3,male,C,Mr,Duo,10-25,17-32
1,3,female,Q,Miss,Solo,0-10,0-16
1,1,male,C,Mr,Solo,25-40,33-48
0,3,male,S,Mr,Solo,0-10,17-32
1,2,female,S,Miss,Solo,10-25,33-48
0,3,male,S,Mr,Solo,0-10,17-32
0,2,male,S,Mr,Solo,10-25,17-32
0,3,male,Q,Mr,Duo,0-10,17-32
1,1,female,C,Miss,Small,100+,17-32
1,3,female,S,Miss,Solo,0-10,17-32
0,2,male,S,Mr,Duo,25-40,33-48
1,1,female,C,Miss,Solo,70-100,17-32
0,2,male,S,Mr,Solo,10-25,17-32
1,3,male,S,Mr,Solo,0-10,0-16
0,2,male,S,Mr,Solo,10-25,17-32
0,3,male,S,Mr,Solo,0-10,49-64
0,3,male,S,Mr,Solo,0-10,17-32
1,1,male,S,Mr,Duo,70-100,33-48
0,3,male,S,Mr,Solo,0-10,17-32
1,2,male,S,Mr,Solo,10-25,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,2,male,S,Mr,Solo,10-25,17-32
0,3,female,S,Miss,Large,25-40,17-32
1,1,female,S,Mrs,Duo,70-100,33-48
0,3,male,S,Mr,Solo,0-10,17-32
0,2,male,S,Mr,Solo,10-25,49-64
1,3,female,S,Miss,Large,25-40,0-16
0,2,male,S,Mr,Solo,10-25,17-32
0,3,female,S,Miss,Solo,0-10,17-32
0,2,male,S,Mr,Duo,25-40,33-48
1,2,female,S,Miss,Small,25-40,0-16
0,2,male,S,Mr,Solo,10-25,17-32
0,2,male,S,Mr,Solo,10-25,33-48
0,3,female,C,Miss,Duo,10-25,17-32
1,3,female,Q,Miss,Duo,10-25,17-32
0,2,male,S,Mr,Solo,10-25,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,3,male,C,Mr,Solo,0-10,17-32
0,1,male,Q,Rare Title,Small,70-100,33-48
0,3,female,S,Miss,Solo,0-10,17-32
1,2,female,S,Mrs,Small,10-25,17-32
1,1,male,S,Mr,Small,40-70,33-48
0,2,male,S,Rare Title,Duo,25-40,49-64
0,3,male,S,Mr,Solo,0-10,17-32
0,3,female,S,Mrs,Small,10-25,17-32
0,1,male,S,Mr,Solo,25-40,49-64
0,3,male,S,Mr,Duo,10-25,17-32
0,3,female,S,Mrs,Small,10-25,33-48
1,3,female,C,Mrs,Small,10-25,17-32
1,1,female,C,Mrs,Solo,70-100,33-48
1,1,female,S,Miss,Small,70-100,17-32
1,1,female,C,Miss,Small,100+,33-48
1,2,female,S,Mrs,Duo,25-40,49-64
0,3,male,Q,Mr,Solo,0-10,17-32
1,3,male,S,Master,Large,25-40,0-16
0,1,male,S,Mr,Small,70-100,49-64
0,1,male,S,Mr,Solo,40-70,33-48
0,3,female,Q,Miss,Solo,0-10,17-32
0,2,male,S,Mr,Solo,10-25,33-48
0,3,male,S,Mr,Large,25-40,0-16
1,3,male,S,Mr,Duo,0-10,17-32
1,1,female,S,Mrs,Small,100+,49-64
1,1,female,S,Miss,Small,100+,33-48
0,1,male,S,Mr,Duo,25-40,33-48
1,3,male,S,Mr,Small,0-10,17-32
1,2,female,S,Mrs,Duo,10-25,33-48
0,1,male,C,Mr,Duo,25-40,33-48
1,3,female,Q,Miss,Solo,0-10,17-32
1,1,female,S,Miss,Small,70-100,49-64
0,3,female,S,Miss,Solo,0-10,33-48
0,2,male,S,Mr,Small,10-25,17-32
0,3,male,Q,Master,Large,25-40,0-16
1,3,female,S,Mrs,Small,10-25,33-48
0,3,male,Q,Mr,Solo,0-10,65+
0,3,male,S,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,0-16
1,3,male,S,Mr,Solo,0-10,17-32
0,1,male,S,Mr,Solo,25-40,33-48
0,3,male,C,Mr,Solo,0-10,33-48
1,3,male,S,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,17-32
1,2,male,S,Mr,Solo,10-25,33-48
1,3,female,Q,Miss,Solo,0-10,17-32
1,1,female,S,Miss,Duo,70-100,17-32
1,1,female,C,Mrs,Duo,70-100,17-32
0,2,male,C,Mr,Solo,10-25,33-48
0,3,female,S,Miss,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,1,male,C,Mr,Solo,25-40,33-48
0,3,male,C,Mr,Solo,0-10,17-32
0,1,female,S,Miss,Small,100+,0-16
1,1,male,S,Mr,Solo,25-40,33-48
1,1,female,C,Mrs,Duo,100+,49-64
1,3,female,Q,Miss,Solo,0-10,17-32
1,3,male,Q,Mr,Small,10-25,17-32
0,3,male,S,Mr,Small,0-10,17-32
1,2,female,Q,Miss,Solo,10-25,17-32
0,3,male,S,Mr,Solo,0-10,17-32
1,1,male,S,Master,Small,100+,0-16
1,1,female,C,Miss,Small,100+,17-32
1,1,female,C,Mrs,Duo,100+,17-32
0,2,male,C,Mr,Duo,10-25,17-32
1,1,female,C,Miss,Duo,40-70,17-32
1,1,female,C,Miss,Duo,70-100,17-32
1,1,female,C,Miss,Large,100+,17-32
0,2,female,S,Mrs,Small,25-40,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,2,male,S,Mr,Small,25-40,33-48
1,3,female,S,Miss,Solo,0-10,17-32
1,2,female,S,Mrs,Duo,25-40,17-32
0,2,male,S,Rare Title,Solo,10-25,49-64
1,1,female,S,Miss,Small,100+,17-32
1,1,female,C,Mrs,Small,100+,33-48
0,3,male,S,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,17-32
1,2,female,Q,Miss,Solo,10-25,17-32
1,2,female,S,Mrs,Small,25-40,17-32
0,3,male,S,Mr,Large,40-70,17-32
1,1,female,C,Miss,Small,100+,33-48
0,3,male,S,Mr,Solo,0-10,49-64
1,2,female,S,Mrs,Solo,10-25,33-48
1,3,female,S,Mrs,Small,10-25,17-32
1,1,female,C,Miss,Duo,40-70,0-16
1,3,female,Q,Miss,Small,10-25,17-32
0,1,male,S,Mr,Solo,25-40,33-48
0,1,male,S,Mr,Small,100+,33-48
0,3,male,S,Mr,Small,10-25,0-16
1,1,female,S,Mrs,Duo,100+,33-48
0,3,male,S,Mr,Solo,0-10,17-32
0,1,male,S,Mr,Duo,40-70,17-32
1,1,female,C,Miss,Duo,100+,33-48
1,3,male,S,Mr,Solo,0-10,33-48
0,1,male,S,Mr,Solo,25-40,33-48
1,2,male,S,Master,Small,25-40,0-16
1,1,female,S,Miss,Large,100+,17-32
0,2,male,S,Mr,Solo,10-25,17-32
0,2,male,S,Mr,Solo,10-25,17-32
0,2,male,S,Mr,Solo,10-25,33-48
1,2,female,S,Miss,Solo,10-25,17-32
1,2,female,S,Miss,Solo,10-25,33-48
1,3,female,S,Mrs,Duo,10-25,17-32
1,3,male,S,Master,Small,10-25,0-16
0,3,male,S,Mr,Solo,0-10,33-48
0,3,male,S,Mr,Solo,0-10,17-32
0,1,male,S,Mr,Solo,25-40,33-48
0,3,male,C,Mr,Small,0-10,0-16
0,3,male,S,Mr,Duo,10-25,17-32
0,3,male,C,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,17-32
1,1,female,S,Miss,Duo,40-70,17-32
0,2,female,S,Miss,Solo,10-25,33-48
1,3,female,Q,Miss,Solo,0-10,17-32
1,3,female,Q,Miss,Solo,0-10,17-32
0,3,male,S,Mr,Large,25-40,33-48
0,2,male,C,Mr,Duo,25-40,17-32
0,3,female,C,Mrs,Duo,10-25,33-48
0,3,male,S,Mr,Solo,0-10,33-48
0,3,male,Q,Mr,Duo,10-25,17-32
0,3,male,S,Mr,Solo,0-10,17-32
1,1,female,C,Mrs,Duo,70-100,49-64
1,3,female,C,Mrs,Solo,0-10,17-32
1,3,female,Q,Miss,Solo,0-10,17-32
1,1,female,C,Mrs,Duo,40-70,17-32
1,1,male,C,Mr,Duo,40-70,17-32
0,3,male,S,Mr,Duo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,1,male,C,Mr,Small,100+,17-32
0,3,female,S,Miss,Large,10-25,0-16
1,1,female,C,Mrs,Duo,70-100,33-48
1,3,female,S,Miss,Solo,0-10,17-32
0,1,male,C,Mr,Small,100+,17-32
0,3,male,C,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,17-32
1,1,female,C,Miss,Small,100+,33-48
1,3,female,C,Miss,Small,10-25,0-16
0,3,male,S,Mr,Solo,0-10,17-32
1,1,female,S,Mrs,Duo,40-70,33-48
0,3,male,S,Mr,Solo,0-10,17-32
0,2,male,S,Mr,Large,70-100,17-32
0,3,male,S,Master,Large,40-70,0-16
1,2,female,S,Miss,Solo,10-25,33-48
0,3,male,Q,Mr,Solo,0-10,17-32
1,2,female,C,Miss,Solo,10-25,17-32
1,1,male,S,Mr,Small,100+,33-48
1,3,male,S,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Small,0-10,17-32
1,1,female,C,Miss,Small,100+,17-32
1,3,female,S,Mrs,Small,10-25,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,3,female,S,Miss,Solo,0-10,17-32
0,2,male,S,Mr,Duo,25-40,33-48
0,2,male,S,Rare Title,Solo,10-25,17-32
1,2,female,S,Mrs,Solo,10-25,17-32
1,3,male,S,Mr,Solo,0-10,33-48
0,3,male,S,Mr,Solo,0-10,17-32
0,3,female,S,Miss,Duo,0-10,17-32
0,3,male,S,Mr,Duo,10-25,17-32
0,3,female,S,Miss,Solo,0-10,17-32
0,2,male,S,Mr,Duo,10-25,33-48
0,3,male,S,Mr,Solo,0-10,49-64
1,2,male,S,Master,Small,10-25,0-16
0,3,male,S,Mr,Solo,0-10,17-32
0,3,female,S,Miss,Large,25-40,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,3,male,Q,Mr,Solo,0-10,17-32
1,1,female,Q,Miss,Duo,70-100,33-48
0,2,male,S,Mr,Small,10-25,17-32
1,3,male,S,Mr,Solo,0-10,33-48
0,3,female,S,Mrs,Solo,0-10,17-32
1,2,female,S,Mrs,Small,25-40,33-48
1,2,female,S,Miss,Small,10-25,17-32
0,2,male,S,Mr,Solo,10-25,17-32
0,3,female,S,Miss,Small,10-25,0-16
0,3,male,C,Mr,Solo,0-10,17-32
0,3,male,Q,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,3,female,S,Mrs,Small,10-25,17-32
0,3,male,S,Mr,Small,10-25,17-32
0,3,male,S,Mr,Solo,0-10,17-32
1,2,female,S,Mrs,Duo,25-40,17-32
1,2,female,S,Miss,Duo,25-40,17-32
0,3,male,Q,Mr,Solo,0-10,17-32
1,3,male,S,Mr,Solo,0-10,17-32
1,1,male,S,Mr,Solo,25-40,17-32
1,3,female,S,Mrs,Duo,10-25,17-32
1,2,female,S,Mrs,Duo,25-40,33-48
0,3,male,S,Mr,Solo,0-10,17-32
0,1,male,S,Mr,Duo,40-70,49-64
1,1,female,S,Miss,Small,100+,0-16
0,3,female,S,Miss,Large,25-40,17-32
1,2,female,S,Mrs,Large,10-25,17-32
0,1,male,S,Mr,Large,100+,49-64
0,2,male,S,Mr,Solo,10-25,17-32
1,2,female,S,Mrs,Small,25-40,33-48
0,3,male,S,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Duo,0-10,17-32
1,2,female,S,Rare Title,Solo,10-25,17-32
1,3,male,S,Mr,Solo,0-10,17-32
1,1,male,S,Master,Small,70-100,0-16
1,2,female,S,Miss,Duo,10-25,0-16
1,1,male,S,Mr,Solo,25-40,33-48
1,3,female,C,Miss,Small,10-25,0-16
1,1,male,S,Rare Title,Solo,25-40,49-64
0,2,male,S,Mr,Small,25-40,33-48
0,3,male,S,Mr,Duo,10-25,17-32
0,1,male,C,Mr,Solo,25-40,17-32
1,1,male,C,Mr,Duo,70-100,49-64
0,3,male,S,Mr,Solo,0-10,17-32
1,3,male,C,Mr,Solo,0-10,17-32
0,1,male,S,Mr,Solo,25-40,65+
1,1,female,S,Mrs,Duo,40-70,33-48
1,2,female,S,Miss,Solo,10-25,49-64
0,3,male,Q,Mr,Solo,0-10,17-32
1,1,male,S,Mr,Solo,25-40,33-48
0,3,male,S,Mr,Solo,0-10,33-48
0,1,male,S,Mr,Solo,25-40,33-48
0,2,male,S,Mr,Solo,10-25,33-48
0,3,male,S,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,33-48
0,2,male,S,Mr,Small,10-25,17-32
0,1,male,S,Mr,Solo,25-40,49-64
0,3,male,Q,Mr,Solo,0-10,17-32
1,3,female,C,Miss,Small,10-25,0-16
0,3,male,S,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,33-48
1,2,female,S,Mrs,Small,25-40,33-48
1,2,female,C,Mrs,Solo,10-25,17-32
0,3,female,S,Miss,Solo,0-10,17-32
0,1,male,S,Mr,Duo,40-70,33-48
0,2,male,S,Mr,Duo,10-25,33-48
0,3,male,S,Mr,Duo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,17-32
1,3,female,S,Miss,Duo,10-25,0-16
0,3,male,S,Master,Large,40-70,0-16
0,2,male,S,Mr,Solo,10-25,17-32
0,3,male,S,Mr,Solo,0-10,49-64
1,3,female,S,Mrs,Solo,0-10,49-64
1,1,male,C,Mr,Duo,70-100,17-32
0,3,female,S,Miss,Large,25-40,17-32
1,1,female,S,Mrs,Duo,70-100,33-48
0,1,male,C,Mr,Solo,25-40,49-64
0,3,male,S,Mr,Solo,0-10,17-32
1,3,male,S,Master,Small,10-25,0-16
0,3,male,S,Mr,Duo,10-25,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,1,male,S,Mr,Solo,25-40,49-64
0,1,male,C,Mr,Solo,40-70,65+
0,3,male,S,Mr,Solo,0-10,17-32
0,3,male,C,Mr,Duo,10-25,17-32
1,1,female,C,Miss,Duo,70-100,49-64
0,3,male,S,Mr,Solo,10-25,17-32
0,1,female,S,Mrs,Small,100+,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,3,female,Q,Miss,Solo,0-10,17-32
0,3,female,Q,Miss,Solo,0-10,17-32
0,3,female,S,Miss,Solo,0-10,33-48
1,1,female,S,Miss,Small,70-100,0-16
0,1,male,C,Mr,Duo,100+,17-32
1,2,female,S,Mrs,Small,25-40,33-48
1,1,male,S,Mr,Solo,25-40,33-48
0,3,male,S,Mr,Solo,10-25,17-32
1,3,male,S,Mr,Large,40-70,17-32
1,3,male,Q,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,17-32
1,1,male,S,Mr,Solo,25-40,33-48
1,1,female,C,Mrs,Duo,40-70,49-64
0,3,male,S,Mr,Solo,0-10,17-32
0,1,male,S,Mr,Solo,25-40,33-48
1,2,female,S,Mrs,Solo,10-25,33-48
0,3,male,Q,Mr,Small,10-25,17-32
1,2,female,S,Mrs,Duo,25-40,33-48
0,3,male,S,Mr,Solo,0-10,17-32
1,1,female,S,Miss,Duo,70-100,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,3,male,C,Mr,Solo,0-10,17-32
1,1,female,C,Mrs,Duo,40-70,33-48
0,3,male,C,Mr,Solo,0-10,17-32
0,3,male,Q,Mr,Solo,0-10,33-48
1,2,female,S,Miss,Solo,10-25,49-64
0,1,male,S,Mr,Solo,100+,33-48
0,3,male,S,Mr,Solo,0-10,33-48
0,2,male,S,Mr,Small,10-25,17-32
1,2,female,S,Miss,Small,25-40,0-16
0,3,male,C,Mr,Solo,0-10,17-32
0,3,male,C,Mr,Small,0-10,17-32
1,3,female,C,Mrs,Small,10-25,17-32
0,3,female,S,Miss,Solo,0-10,17-32
1,2,female,S,Miss,Small,25-40,0-16
0,1,male,S,Rare Title,Solo,25-40,33-48
1,1,female,C,Miss,Duo,100+,17-32
0,3,male,S,Mr,Solo,10-25,17-32
1,1,female,C,Miss,Small,40-70,17-32
1,1,female,S,Miss,Small,70-100,33-48
0,3,female,S,Miss,Large,25-40,0-16
0,3,female,S,Miss,Large,25-40,0-16
1,2,male,S,Mr,Duo,25-40,17-32
0,1,male,C,Mr,Duo,100+,49-64
0,1,male,S,Mr,Solo,25-40,49-64
1,2,female,S,Mrs,Duo,25-40,17-32
1,2,male,C,Mr,Solo,10-25,17-32
0,3,male,S,Mr,Small,10-25,33-48
1,2,male,S,Master,Small,25-40,0-16
1,1,male,C,Mr,Small,100+,17-32
0,2,male,S,Mr,Solo,25-40,17-32
0,3,male,Q,Mr,Solo,0-10,17-32
1,3,male,C,Mr,Solo,0-10,17-32
1,3,female,S,Miss,Solo,0-10,17-32
0,1,male,S,Mr,Solo,25-40,49-64
1,1,female,C,Rare Title,Duo,25-40,33-48
0,1,male,C,Mr,Small,100+,33-48
1,1,female,S,Mrs,Small,70-100,33-48
1,3,female,S,Mrs,Duo,10-25,33-48
0,3,male,Q,Mr,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,33-48
0,2,male,S,Mr,Solo,10-25,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,3,female,S,Miss,Solo,0-10,17-32
0,3,male,S,Mr,Small,10-25,17-32
0,3,male,S,Mr,Solo,0-10,17-32
0,3,female,S,Mrs,Large,10-25,17-32
0,3,male,C,Mr,Solo,0-10,17-32
1,3,male,S,Mr,Solo,0-10,17-32
1,2,male,S,Mr,Solo,10-25,49-64
1,1,female,S,Mrs,Small,40-70,49-64
1,1,male,S,Mr,Solo,25-40,33-48
1,3,female,Q,Miss,Solo,0-10,17-32
0,3,male,S,Mr,Solo,0-10,0-16
0,3,male,S,Mr,Duo,10-25,17-32
1,2,female,S,Miss,Solo,10-25,33-48
1,1,female,S,Mrs,Duo,40-70,33-48
0,3,female,C,Mrs,Duo,10-25,17-32
1,3,male,S,Mr,Solo,0-10,17-32
1,2,female,S,Miss,Small,25-40,17-32
1,1,female,C,Mrs,Small,100+,33-48
